,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_79,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,unassigned
ASV_80,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_81,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_82,Eukaryota,Chordata,Appendicularia,unknown,unknown,g_,s_
ASV_83,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,s_
ASV_84,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,Strombidium caudispina
ASV_85,Eukaryota,unknown,Dinophyceae,Peridiniales,Peridiniaceae,Pentapharsodinium,unassigned
ASV_86,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,Proterythropsis sp. BSL-2009a
ASV_87,Eukaryota,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,g_,s_
ASV_88,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Adenoides,Adenoides eludens
ASV_89,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,unassigned
ASV_90,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_91,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_92,Eukaryota,Mollusca,Gastropoda,Lepetellida,Lepetodrilidae,unassigned,unassigned
ASV_93,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_94,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,unassigned,unassigned
ASV_95,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,Leptocylindrus convexus
ASV_96,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_97,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_98,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Brockmanniella,Brockmanniella brockmannii
ASV_99,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned
ASV_100,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_101,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Euterpinidae,Euterpina,Euterpina acutifrons
ASV_102,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_103,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_104,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_105,Eukaryota,unknown,Dinophyceae,Suessiales,Suessiaceae,Ansanella,unassigned
ASV_106,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Halopsis,s_
ASV_107,Eukaryota,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,g_,s_
ASV_108,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_109,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,g_,s_
ASV_110,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae,unassigned,unassigned
ASV_111,Eukaryota,Chordata,Thaliacea,Pyrosomata,Pyrosomatidae,Pyrosoma,Pyrosoma atlanticum
ASV_112,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_113,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_114,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_115,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira concaviuscula
ASV_116,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned
ASV_117,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_118,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros radicans
ASV_119,Eukaryota,unknown,Polycystinea,Collodaria,Sphaerozoidae,unassigned,unassigned
ASV_120,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis
ASV_121,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_122,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_123,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,unassigned
ASV_124,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned
ASV_125,Eukaryota,Chordata,Thaliacea,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
ASV_126,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_127,Eukaryota,Cercozoa,Thecofilosea,unknown,Ebriacea,Ebria,Ebria tripartita
ASV_128,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos tenuis
ASV_129,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia flaccida
ASV_130,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_131,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,unassigned
ASV_132,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,unassigned
ASV_133,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_134,Eukaryota,Cnidaria,Hydrozoa,Trachymedusae,Geryoniidae,Liriope,Liriope tetraphylla
ASV_135,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_136,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Polykrikos,Polykrikos kofoidii
ASV_137,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,s_
ASV_138,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,s_
ASV_139,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,unassigned,unassigned
ASV_140,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus curvatulus
ASV_141,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_142,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_143,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros cinctus
ASV_144,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,Duboscquella,unassigned
ASV_145,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium viride
ASV_146,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_147,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,unassigned,unassigned
ASV_148,Eukaryota,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,unassigned,unassigned
ASV_149,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma akashiwo
ASV_150,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_151,Eukaryota,Haptista,Haptophyta,Prymnesiales,unassigned,unassigned,unassigned
ASV_152,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_153,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_154,Eukaryota,Chlorophyta,Pedinophyceae,Pedinomonadales,Pedinomonadaceae,Pedinomonas,unassigned
ASV_155,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_156,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,unassigned
ASV_157,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,g_,s_
ASV_158,Eukaryota,Ctenophora,Tentaculata,Lobata,unassigned,unassigned,unassigned
ASV_159,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,g_,s_
ASV_160,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia heimii
ASV_161,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,unassigned,unassigned
ASV_162,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_163,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_164,Eukaryota,unknown,unknown,unknown,unknown,unknown,s_
ASV_165,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,unassigned
ASV_166,Eukaryota,Ciliophora,Spirotrichea,unknown,Tontoniidae,Pseudotontonia,Pseudotontonia sp. JG-2011a
ASV_167,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros brevis
ASV_168,Eukaryota,Ciliophora,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_169,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_170,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Paragymnodinium,unassigned
ASV_171,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_172,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,Cryothecomonas sp. APCC MC5-1Cryo
ASV_173,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_174,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,unassigned
ASV_175,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,unassigned,unassigned
ASV_176,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,unassigned
ASV_177,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned
ASV_178,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_179,no_hit,Imbricatea,unknown,Thaumatomonadida,Thaumatomastigidae,Protaspis,no_hit
ASV_181,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_182,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia flaccida
ASV_183,Eukaryota,Imbricatea,unknown,Thaumatomonadida,Thaumatomastigidae,Protaspis,s_
ASV_185,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned
ASV_186,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,unassigned,unassigned
ASV_187,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_188,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,unassigned,unassigned
ASV_189,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_190,Eukaryota,unknown,Choanoflagellata,Acanthoecida,Stephanoecidae,Calliacantha,Calliacantha natans
ASV_191,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_192,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Idas,Idas argenteus
ASV_193,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,Duboscquella,unassigned
ASV_194,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,unassigned
ASV_195,Eukaryota,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,Chytriodinium,s_
ASV_196,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,unknown,Candida,unassigned
ASV_197,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_199,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_200,Eukaryota,unknown,Phaeophyceae,Laminariales,unassigned,unassigned,unassigned
ASV_201,Eukaryota,unknown,Acantharea,Chaunacanthida,unknown,unknown,Chaunacanthid sp. 6200
ASV_202,Eukaryota,Chordata,Actinopteri,unassigned,unassigned,unassigned,unassigned
ASV_203,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,Pentacheles,Pentacheles laevis
ASV_204,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_205,Eukaryota,unknown,Polycystinea,Nassellaria,Plagiacanthidae,Lithomelissa,Lithomelissa setosa
ASV_206,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_207,Eukaryota,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,Teleaulax amphioxeia
ASV_208,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Proboscia,unassigned
ASV_209,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_210,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_211,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,unassigned
ASV_212,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,unknown,Oithonidae sp. DZMB624
ASV_213,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_214,Eukaryota,unknown,Choanoflagellata,Acanthoecida,Stephanoecidae,Diaphanoeca,Diaphanoeca undulata
ASV_215,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,unassigned
ASV_216,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,Duboscquella,unassigned
ASV_217,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_218,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_219,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,unassigned,unassigned,unassigned
ASV_220,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,unassigned
ASV_221,Eukaryota,unknown,Dinophyceae,Peridiniales,Peridiniaceae,g_,s_
ASV_222,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_223,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,g_,s_
ASV_224,Eukaryota,unknown,Polycystinea,Collodaria,Sphaerozoidae,g_,s_
ASV_225,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_226,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_227,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_228,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia heimii
ASV_229,Eukaryota,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,Aplanochytrium,Aplanochytrium kerguelense
ASV_230,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_231,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_232,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,Strombidium caudispina
ASV_233,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_234,Eukaryota,Echinodermata,Echinoidea,unassigned,unassigned,unassigned,unassigned
ASV_235,Eukaryota,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,unassigned
ASV_236,Eukaryota,unknown,Cryptophyceae,unassigned,unassigned,unassigned,unassigned
ASV_237,Eukaryota,Apicomplexa,Conoidasida,Eucoccidiorida,Adeleidae,g_,s_
ASV_238,Eukaryota,unknown,Choanoflagellata,Craspedida,Salpingoecidae,Bicosta,Bicosta minor
ASV_239,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,Chrysaora fuscescens
ASV_240,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_241,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_242,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_243,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia heimii
ASV_244,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_245,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_246,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros didymus
ASV_247,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Kareniaceae,g_,s_
ASV_249,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_250,Eukaryota,Chordata,Actinopteri,unassigned,unassigned,unassigned,unassigned
ASV_251,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_252,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida,Strombidinopsidae,g_,s_
ASV_253,Eukaryota,Chlorophyta,Mamiellophyceae,unassigned,unassigned,g_,s_
ASV_254,Eukaryota,unknown,unknown,unknown,unknown,unknown,s_
ASV_255,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_256,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros diadema
ASV_257,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_258,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_259,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_260,Eukaryota,unknown,Polycystinea,unassigned,unassigned,unassigned,unassigned
ASV_261,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,unknown,Diplonemida sp. 37 RG-2016
ASV_262,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_263,Eukaryota,Annelida,Polychaeta,unknown,Opheliidae,unassigned,unassigned
ASV_264,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_265,Eukaryota,unknown,unknown,unknown,unknown,unknown,Acantharian sp. 6201
ASV_266,Eukaryota,unknown,Dinophyceae,Blastodiniales,unknown,g_,s_
ASV_268,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,Oncaea,s_
